,filename,text,hit
8,./img/smoo15_AngelaMerkel1_1.png,Angela Merkel,1
195,./img/gray_AngelaMerkel1_1.png,Angela Merkel,1
203,./img/gray_AngelaMerkel3_1.png,Angela Merkel,1
201,./img/gray_AngelaMerkel4_1.png,Angela Merkel,1
47,./img/smoo15_AngelaMerkel4_1.png,Angela Merkel,1
94,./img/edges5_AngelaMerkel3_1.png,Angela Merkel,1
80,./img/edges5_AngelaMerkel4_1.png,Angela Merkel,1
101,./img/edges5_AngelaMerkel1_1.png,Angela Merkel,1
70,./img/smoo15_AngelaMerkel3_1.png,Angela Merkel,1
155,./img/gray_BarackObama1_3.png,Barack Obama,1
67,./img/smoo15_BarackObama1_3.png,Barack Obama,1
74,./img/edges5_BarackObama4_1.png,Barack Obama,1
76,./img/edges5_BarackObama2_1.png,Barack Obama,1
108,./img/edges5_BarackObama1_3.png,Barack Obama,1
158,./img/gray_BarackObama2_1.png,Barack Obama,1
32,./img/smoo15_BarackObama2_1.png,Barack Obama,1
148,./img/gray_BarackObama4_1.png,Barack Obama,1
33,./img/smoo15_BarackObama4_1.png,Barack obama,1
112,./img/edges5_BastianSchweinsteiger3_1.png,Bastian Schweinsteiger,1
11,./img/smoo15_BastianSchweinsteiger3_1.png,Bastian Schweinsteiger,1
178,./img/gray_BastianSchweinsteiger1_1.png,Bastian Schweinsteiger,1
31,./img/smoo15_BastianSchweinsteiger6_2.png,Bastian Schweinsteiger,1
109,./img/edges5_BastianSchweinsteiger1_1.png,Bastian Schweinsteiger,1
194,./img/gray_BastianSchweinsteiger3_1.png,Bastian Schweinsteiger,1
157,./img/gray_BastianSchweinsteiger6_2.png,Bastian Schweinsteiger,1
64,./img/smoo15_BastianSchweinsteiger1_1.png,Bastian Schweinsteiger,1
130,./img/edges5_BastianSchweinsteiger6_2.png,Bastian Schweinsteiger,1
75,./img/edges5_BritneySpears5_1.png,Britney Spears,1
63,./img/smoo15_BritneySpears1_1.png,Britney Spears,1
122,./img/edges5_BritneySpears7_1.png,Britney Spears,1
210,./img/gray_BritneySpears1_1.png,Britney Spears,1
180,./img/gray_BritneySpears7_1.png,Britney Spears,1
83,./img/edges5_BritneySpears1_1.png,Britney Spears,1
12,./img/smoo15_BritneySpears5_1.png,Britney Spears,1
17,./img/smoo15_BritneySpears7_1.png,Britney Spears,1
189,./img/gray_BritneySpears5_1.png,Britney Spears,1
97,./img/edges5_GeorgeClooney4_2.png,George Clooney,1
48,./img/smoo15_GeorgeClooney11_1.png,George Clooney,1
93,./img/edges5_GeorgeClooney3_1.png,George Clooney,1
59,./img/smoo15_GeorgeClooney3_1.png,George Clooney,1
39,./img/smoo15_GeorgeClooney4_2.png,George Clooney,1
86,./img/edges5_GeorgeClooney11_1.png,George Clooney,1
197,./img/gray_GeorgeClooney3_1.png,George Clooney,1
151,./img/gray_GeorgeClooney11_1.png,George Clooney,1
172,./img/gray_GeorgeClooney4_2.png,George Clooney,1
61,./img/smoo15_GuentherJauch2_1.png,Günther Jauch,1
161,./img/gray_GuentherJauch3_1.png,Günther Jauch,1
54,./img/smoo15_GuentherJauch3_1.png,Günther Jauch,1
143,./img/edges5_GuentherJauch2_1.png,Günther Jauch,1
186,./img/gray_GuentherJauch2_1.png,Günther Jauch,1
5,./img/smoo15_GuentherJauch4_1.png,Günther Jauch,1
88,./img/edges5_GuentherJauch4_1.png,Günther Jauch,1
103,./img/edges5_GuentherJauch3_1.png,Günther Jauch,1
170,./img/gray_GuentherJauch4_1.png,Günther Jauch,1
110,./img/edges5_JasonSegel(Marshall)7_1.png,Jason Segal,1
190,./img/gray_JasonSegel(Marshall)9_1.png,Jason Segal,1
129,./img/edges5_JasonSegel(Marshall)9_1.png,Jason Segal,1
43,./img/smoo15_JasonSegel(Marshall)6_1.png,Jason Segal,1
174,./img/gray_JasonSegel(Marshall)6_1.png,Jason Segal,1
53,./img/smoo15_JasonSegel(Marshall)7_1.png,Jason Segal,1
212,./img/gray_JasonSegel(Marshall)7_1.png,Jason Segal,1
16,./img/smoo15_JasonSegel(Marshall)9_1.png,Jason Segal,1
141,./img/edges5_JasonSegel(Marshall)6_1.png,Jason Segal,1
35,./img/smoo15_JoachimLoew4_1.png,Joachim Löw,1
136,./img/edges5_JoachimLoew4_1.png,Joachim Löw,1
44,./img/smoo15_JoachimLoew1_1.png,Joachim Löw,1
125,./img/edges5_JoachimLoew1_1.png,Joachim Löw,1
123,./img/edges5_JoachimLoew8_1.png,Joachim Löw,1
3,./img/smoo15_JoachimLoew8_1.png,Joachim Löw,1
165,./img/gray_JoachimLoew8_1.png,Joachim Löw,1
192,./img/gray_JoachimLoew4_1.png,Joachim Löw,1
188,./img/gray_JoachimLoew1_1.png,Joachim Löw,1
163,./img/gray_KatjaBurkard1_1.png,Katja Burkhard,1
10,./img/smoo15_KatjaBurkard5_3.png,Katja Burkhard,1
114,./img/edges5_KatjaBurkard1_1.png,Katja Burkhard,1
20,./img/smoo15_KatjaBurkard1_1.png,Katja Burkhard,1
118,./img/edges5_KatjaBurkard5_3.png,Katja Burkhard,1
167,./img/gray_KatjaBurkard4_1.png,Katja Burkhard,1
96,./img/edges5_KatjaBurkard4_1.png,Katja Burkhard,1
30,./img/smoo15_KatjaBurkard4_1.png,Katja Burkhard,1
184,./img/gray_KatjaBurkard5_3.png,Katja Burkhard,1
50,./img/smoo15_LeonardoDiCaprio1_1.png,Leonardo DICaprio,1
121,./img/edges5_LeonardoDiCaprio3_1.png,Leonardo DiCaprio,1
127,./img/edges5_LeonardoDiCaprio1_1.png,Leonardo DiCaprio,1
156,./img/gray_LeonardoDiCaprio3_1.png,Leonardo DiCaprio,1
57,./img/smoo15_LeonardoDiCaprio3_1.png,Leonardo DiCaprio,1
40,./img/smoo15_LeonardoDiCaprio2_1.png,Leonardo DiCaprio,1
150,./img/gray_LeonardoDiCaprio1_1.png,Leonardo Dicaprio,1
139,./img/edges5_LeonardoDiCaprio2_1.png,Leonardo Dicaprio,1
173,./img/gray_LeonardoDiCaprio2_1.png,Leonardo Dicaprio,1
202,./img/gray_NeilPatrickHarris(Barney)3_7.png,Neil Patrick Harris,1
171,./img/gray_NeilPatrickHarris(Barney)1_1.png,Neil Patrick Harris,1
131,./img/edges5_NeilPatrickHarris(Barney)1_1.png,Neil Patrick Harris,1
55,./img/smoo15_NeilPatrickHarris(Barney)2_2.png,Neil Patrick Harris,1
200,./img/gray_NeilPatrickHarris(Barney)2_2.png,Neil Patrick Harris,1
135,./img/edges5_NeilPatrickHarris(Barney)2_2.png,Neil Patrick Harris,1
120,./img/edges5_NeilPatrickHarris(Barney)3_7.png,Neil Patrick Harris,1
21,./img/smoo15_NeilPatrickHarris(Barney)3_7.png,Neil Patrick Harris,1
13,./img/smoo15_NeilPatrickHarris(Barney)1_1.png,Neil Patrick Harris,1
176,./img/gray_NicoleKidman7_1.png,Nicole Kidman,1
45,./img/smoo15_NicoleKidman7_1.png,Nicole Kidman,1
19,./img/smoo15_NicoleKidman5_1.png,Nicole Kidman,1
138,./img/edges5_NicoleKidman5_1.png,Nicole Kidman,1
198,./img/gray_NicoleKidman3_1.png,Nicole Kidman,1
145,./img/gray_NicoleKidman5_1.png,Nicole Kidman,1
102,./img/edges5_NicoleKidman7_1.png,Nicole Kidman,1
124,./img/edges5_NicoleKidman3_1.png,Nicole Kidman,1
9,./img/smoo15_NicoleKidman3_1.png,Nicole Kidman,1
175,./img/gray_TomCruise1_1.png,Tom Cruise,1
104,./img/edges5_TomCruise1_1.png,Tom Cruise,1
179,./img/gray_TomCruise4_1.png,Tom Cruise,1
82,./img/edges5_TomCruise5_1.png,Tom Cruise,1
126,./img/edges5_TomCruise4_1.png,Tom Cruise,1
49,./img/smoo15_TomCruise4_1.png,Tom Cruise,1
2,./img/smoo15_TomCruise1_1.png,Tom Cruise,1
69,./img/smoo15_TomCruise5_1.png,Tom Cruise,1
166,./img/gray_TomCruise5_1.png,Tom Cruise,1
26,./img/smoo15_UrsulavonderLeyen5_1.png,Ursula Von der Leyen,1
91,./img/edges5_UrsulavonderLeyen1_1.png,Ursula Von der Leyen,1
51,./img/smoo15_UrsulavonderLeyen4_1.png,Ursula Von der Leyen,1
196,./img/gray_UrsulavonderLeyen4_1.png,Ursula von der Leyen,1
140,./img/edges5_UrsulavonderLeyen5_1.png,Ursula von der Leyen,1
181,./img/gray_UrsulavonderLeyen1_1.png,Ursula von der Leyen,1
34,./img/smoo15_UrsulavonderLeyen1_1.png,Ursula von der Leyen,1
98,./img/edges5_UrsulavonderLeyen4_1.png,Ursula von der Leyen,1
199,./img/gray_UrsulavonderLeyen5_1.png,Ursula von der Leyen,1
95,./img/edges5_WillSmith4_1.png,Will Smith,1
23,./img/smoo15_WillSmith5_1.png,Will Smith,1
154,./img/gray_WillSmith5_1.png,Will Smith,1
60,./img/smoo15_WillSmith4_1.png,Will Smith,1
68,./img/smoo15_WillSmith1_1.png,Will Smith,1
107,./img/edges5_WillSmith1_1.png,Will Smith,1
77,./img/edges5_WillSmith5_1.png,Will Smith,1
187,./img/gray_WillSmith4_1.png,Will Smith,1
209,./img/gray_WillSmith1_1.png,Will Smith,1
1,./img/smoo15_LisaEdelstein(DrLisaCuddy)1_1.png,,0
132,./img/edges5_LisaEdelstein(DrLisaCuddy)6_3.png,,0
128,./img/edges5_OmarEpps(DrEricForeman)2_2.png,,0
119,./img/edges5_RobertSeanLeonard(Wilson)8_1.png,,0
117,./img/edges5_AlysonHannigan(Lily)5_4.png,,0
116,./img/edges5_MariskaHargitay(Liv)4_4.png,,0
115,./img/edges5_MariskaHargitay(Liv)6_5.png,,0
113,./img/edges5_EmilyDeschanel6_12.png,,0
111,./img/edges5_Ice-T(OdafinFinTutuola)7_1.png,,0
215,./img/gray_AlysonHannigan(Lily)1_1.png,,0
106,./img/edges5_JoshRadnor(Ted)3_1.png,,0
105,./img/edges5_EmilyDeschanel3_1.png,,0
100,./img/edges5_AlysonHannigan(Lily)8_3.png,,0
133,./img/edges5_JoshRadnor(Ted)6_2.png,,0
99,./img/edges5_RobertSeanLeonard(Wilson)2_6.png,,0
90,./img/edges5_JoshRadnor(Ted)1_2.png,,0
89,./img/edges5_Ice-T(OdafinFinTutuola)6_1.png,,0
87,./img/edges5_MariskaHargitay(Liv)8_8.png,,0
85,./img/edges5_LisaEdelstein(DrLisaCuddy)2_2.png,,0
84,./img/edges5_AlysonHannigan(Lily)1_1.png,,0
81,./img/edges5_OmarEpps(DrEricForeman)1_5.png,,0
79,./img/edges5_HughLaurie(DrHouse)4_1.png,,0
78,./img/edges5_EmilyDeschanel5_1.png,,0
73,./img/edges5_HughLaurie(DrHouse)5_3.png,,0
72,./img/smoo15_JoshRadnor(Ted)6_2.png,,0
71,./img/smoo15_OmarEpps(DrEricForeman)2_2.png,,0
66,./img/smoo15_MariskaHargitay(Liv)4_4.png,,0
92,./img/edges5_Ice-T(OdafinFinTutuola)5_1.png,,0
65,./img/smoo15_HughLaurie(DrHouse)2_1.png,,0
134,./img/edges5_OmarEpps(DrEricForeman)3_1.png,,0
142,./img/edges5_HughLaurie(DrHouse)2_1.png,,0
214,./img/gray_HughLaurie(DrHouse)2_1.png,,0
213,./img/gray_MariskaHargitay(Liv)4_4.png,,0
211,./img/gray_LisaEdelstein(DrLisaCuddy)6_3.png,,0
208,./img/gray_JoshRadnor(Ted)6_2.png,,0
207,./img/gray_LisaEdelstein(DrLisaCuddy)2_2.png,,0
206,./img/gray_OmarEpps(DrEricForeman)3_1.png,,0
205,./img/gray_JoshRadnor(Ted)3_1.png,,0
204,./img/gray_JoshRadnor(Ted)1_2.png,,0
193,./img/gray_RobertSeanLeonard(Wilson)1_1.png,,0
191,./img/gray_MariskaHargitay(Liv)8_8.png,,0
185,./img/gray_LisaEdelstein(DrLisaCuddy)1_1.png,,0
183,./img/gray_AlysonHannigan(Lily)5_4.png,,0
137,./img/edges5_LisaEdelstein(DrLisaCuddy)1_1.png,,0
182,./img/gray_HughLaurie(DrHouse)4_1.png,,0
169,./img/gray_AlysonHannigan(Lily)8_3.png,,0
168,./img/gray_EmilyDeschanel5_1.png,,0
164,./img/gray_EmilyDeschanel3_1.png,,0
162,./img/gray_Ice-T(OdafinFinTutuola)5_1.png,,0
160,./img/gray_Ice-T(OdafinFinTutuola)6_1.png,,0
159,./img/gray_RobertSeanLeonard(Wilson)8_1.png,,0
153,./img/gray_Ice-T(OdafinFinTutuola)7_1.png,,0
152,./img/gray_RobertSeanLeonard(Wilson)2_6.png,,0
149,./img/gray_OmarEpps(DrEricForeman)1_5.png,,0
147,./img/gray_MariskaHargitay(Liv)6_5.png,,0
146,./img/gray_EmilyDeschanel6_12.png,,0
144,./img/edges5_RobertSeanLeonard(Wilson)1_1.png,,0
177,./img/gray_HughLaurie(DrHouse)5_3.png,,0
62,./img/smoo15_OmarEpps(DrEricForeman)1_5.png,,0
216,./img/gray_OmarEpps(DrEricForeman)2_2.png,,0
27,./img/smoo15_Ice-T(OdafinFinTutuola)6_1.png,,0
41,./img/smoo15_RobertSeanLeonard(Wilson)1_1.png,,0
36,./img/smoo15_AlysonHannigan(Lily)8_3.png,,0
37,./img/smoo15_JoshRadnor(Ted)3_1.png,,0
38,./img/smoo15_RobertSeanLeonard(Wilson)2_6.png,,0
52,./img/smoo15_EmilyDeschanel3_1.png,,0
14,./img/smoo15_AlysonHannigan(Lily)1_1.png,,0
22,./img/smoo15_AlysonHannigan(Lily)5_4.png,,0
18,./img/smoo15_EmilyDeschanel5_1.png,,0
28,./img/smoo15_RobertSeanLeonard(Wilson)8_1.png,,0
7,./img/smoo15_JoshRadnor(Ted)1_2.png,,0
46,./img/smoo15_LisaEdelstein(DrLisaCuddy)6_3.png,,0
6,./img/smoo15_EmilyDeschanel6_12.png,,0
24,./img/smoo15_Ice-T(OdafinFinTutuola)5_1.png,,0
29,./img/smoo15_MariskaHargitay(Liv)8_8.png,,0
15,./img/smoo15_OmarEpps(DrEricForeman)3_1.png,,0
4,./img/smoo15_HughLaurie(DrHouse)5_3.png,,0
58,./img/smoo15_HughLaurie(DrHouse)4_1.png,,0
56,./img/smoo15_Ice-T(OdafinFinTutuola)7_1.png,,0
25,./img/smoo15_LisaEdelstein(DrLisaCuddy)2_2.png,,0
42,./img/smoo15_MariskaHargitay(Liv)6_5.png,,0
