num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant
,,,,,,space,40.7640789353,,,,,,,,,,,,,,2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
1,./img/smoo15_Ice-T(OdafinFinTutuola)6_1.png,0,0,0,0,,,1.ja,10.784,None,act,4.765,None,None,None,None,None,Ice T,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 't', 'period', 'period', 'return']","[7.213715351790597, 7.314223428767946, 8.01313513230889, 8.213087914095013, 8.812924767462391, 11.61213893061722, 11.64536490025057, 13.761735987947759, 15.14403801066328, 17.459704289512956]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
2,./img/smoo15_WillSmith5_1.png,0,1,1,1,,,1.ja,5.119,None,act,5.782,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[2.7996347003845585, 2.949575629498213, 3.1494963336917863, 3.3492720471695065, 3.4989736774496123, 3.849258414193173, 4.632079324035658, 4.715515706631777, 4.998785863148441, 5.215300305602796, 5.598496010028612, 5.798428582929773, 7.830725264728244]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
3,./img/smoo15_JoshRadnor(Ted)3_1.png,0,2,2,2,,,2.nein,21.184,None,dummy,1.552,None,None,None,None,None,,['return'],[0.9832696111971018],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
4,./img/smoo15_UrsulavonderLeyen1_1.png,0,3,3,3,,,2.nein,15.75,None,dummy,1.207,None,None,None,None,None,,['return'],[0.9504885577625828],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
5,./img/smoo15_BarackObama1_3.png,0,4,4,4,,,1.ja,16.382,None,None,None,None,None,polit,1.091,None,Obama,"['lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.3997875180320989, 1.5830814440432732, 2.033146096429846, 2.2664156274331617, 2.682731766215511, 2.866136359918528, 4.115656078174652]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
6,./img/smoo15_AlysonHannigan(Lily)1_1.png,0,5,5,5,,,2.nein,12.742,None,dummy,1.32,None,None,None,None,None,,['return'],[0.8833957082097186],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
7,./img/smoo15_LisaEdelstein(DrLisaCuddy)2_2.png,0,6,6,6,,,1.ja,7.535,None,dummy,1.674,None,None,None,None,None,Cuddy,"['lshift', 'c', 'u', 'd', 'd', 'y', 'return']","[2.898859673689003, 3.0153491276996647, 3.3485461312666303, 3.498931014251866, 3.7150207493905327, 4.748506226742393, 5.747491291736878]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
8,./img/smoo15_AngelaMerkel4_1.png,0,7,7,7,,,1.ja,2.008,None,None,None,None,None,polit,1.676,None,Merkel,"['lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.4164332219916105, 1.54978329982805, 1.799279601442322, 1.866334599435504, 2.2661634975611378, 2.4327626408958167, 2.565825624285935, 3.23240888921282]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
9,./img/smoo15_EmilyDeschanel6_12.png,0,8,8,8,,,2.nein,20.683,None,dummy,1.55,None,None,None,None,None,,['return'],[0.5836472927639988],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
10,./img/smoo15_KatjaBurkard5_3.png,0,9,9,9,,,1.ja,2.543,None,None,None,host,2.46,None,None,None,Katja Burkhard,"['lshift', 'k', 'a', 't', 'j', 'a', 'space', 'lshift', 'b', 'u', 'r', 'k', 'h', 'a', 'r', 'd', 'return']","[1.9495047380205506, 2.066416333140296, 2.4327806043493183, 2.6662095609826792, 2.8495795108883613, 3.015826763041332, 3.2826189814022655, 3.5818785343490163, 3.665586293373053, 4.015449851336598, 4.198540726192732, 4.848105866318292, 5.315097863922347, 5.464426111031571, 5.781118231267101, 6.347546272729232, 7.213941178037203]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
11,./img/smoo15_LeonardoDiCaprio3_1.png,0,10,10,10,,,1.ja,3.292,None,act,0.975,None,None,None,None,None,DiCaprio,"['lshift', 'd', 'i', 'lshift', 'c', 'a', 'p', 'r', 'o', 'backspace', 'i', 'o', 'return']","[1.6162823931554158, 1.7329736152187252, 1.9163025058041967, 2.79952114570915, 2.899337950580957, 3.099358736861177, 3.5159067966324073, 3.815633720092592, 4.015509836432102, 4.632077078604198, 5.431343849009863, 5.664580981645486, 6.531186315954983]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
12,./img/smoo15_MariskaHargitay(Liv)8_8.png,0,11,11,11,,,2.nein,20.828,None,act,2.019,None,None,None,None,None,,['return'],[0.6162663543600502],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
13,./img/smoo15_GeorgeClooney3_1.png,0,12,12,12,,,2.nein,11.607,None,dummy,1.671,None,None,None,None,None,,['return'],[0.6672097402952204],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
14,./img/smoo15_BritneySpears7_1.png,0,13,13,13,,,1.ja,8.169,None,None,None,music,3.569,None,None,None,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[1.3680631004717725, 1.4830773060330102, 1.7496315086627874, 1.8995945713159017, 2.0827524883388833, 2.565787772728072, 2.7322772106999764, 3.581959369879769, 3.9648086363140465, 4.3479308830537775, 4.481389703927562, 4.731401813218326, 4.947943842400491, 5.2313743868762685, 5.797784144109755, 6.264218312391677, 7.746747733155644]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
15,./img/smoo15_LisaEdelstein(DrLisaCuddy)1_1.png,0,14,14,14,,,2.nein,10.356,None,dummy,1.254,None,None,None,None,None,,['return'],[0.600230766194727],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
16,./img/smoo15_WillSmith4_1.png,0,15,15,15,,,1.ja,2.488,None,act,2.293,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'z', 'backspace', 'h', 'return']","[2.666256715043346, 2.749604884262226, 2.9991512269207306, 3.216116359539228, 3.3824957713713957, 3.6826326464561134, 4.0820724433924624, 4.198497742219843, 4.515423708098751, 4.782124184548593, 5.181481862848159, 5.415286127308718, 6.281325933674452, 6.681371997095994, 7.8642287055317865]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
17,./img/smoo15_GeorgeClooney11_1.png,0,16,16,16,,,2.nein,20.296,None,dummy,1.385,None,None,None,None,None,,['return'],[0.6168735831724916],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
18,./img/smoo15_HughLaurie(DrHouse)4_1.png,0,17,17,17,,,1.ja,2.14,None,act,1.139,None,None,None,None,None,House,"['lshift', 'h', 'o', 'u', 's', 'e', 'return']","[1.2498420980537048, 1.3665993999566126, 1.599817286036341, 1.7996914777213533, 1.9830296708096284, 2.2160801118607196, 2.4997284631845105]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
19,./img/smoo15_NicoleKidman7_1.png,0,18,18,18,,,1.ja,3.859,None,act,0.726,None,None,None,None,None,Kidman,"['lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'return']","[1.7998040700676938, 1.8664308322113357, 2.2165401045276667, 2.3163238694814936, 2.566455628189942, 2.6831022623991885, 2.81635771134097, 3.5160752039882937]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
20,./img/smoo15_NicoleKidman5_1.png,0,19,19,19,,,1.ja,2.855,None,act,1.523,None,None,None,None,None,Kidman,"['lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'n', 'backspace', 'return']","[1.2329436226700636, 1.3499687724652176, 1.6000328474547132, 1.749551956236246, 2.182605540891018, 2.299288743557554, 2.6322422782031936, 2.7826804099913716, 3.8489026737006498, 6.0648012263918645]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
21,./img/smoo15_NeilPatrickHarris(Barney)3_7.png,0,20,20,20,,,1.ja,3.3,None,act,1.29,None,None,None,None,None,Barney,"['lshift', 'b', 'a', 'r', 'n', 'e', 'y', 'return']","[2.432664162690344, 2.7497668761006935, 3.1824749850911758, 3.3654166991454986, 3.7154377580845903, 3.849669969695242, 4.8487381156537595, 6.597946841655357]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
22,./img/smoo15_WillSmith1_1.png,0,21,21,21,,,1.ja,3.367,None,act,1.173,None,None,None,None,None,Smith,"['lshift', 's', 'm', 'i', 't', 'h', 'return']","[1.1666405234300328, 1.2333195720475487, 1.5165733689918852, 1.6832084392299294, 1.8665658788740984, 2.016414103747593, 2.583015684980637]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
23,./img/smoo15_JoachimLoew4_1.png,0,22,22,22,,,1.ja,2.323,None,None,None,None,None,sport,2.278,None,Löw,"['lshift', 'l', u'\xf6', 'w', 'return']","[1.799135573053718, 1.932612678154328, 2.649242439551017, 2.971979581971027, 3.4488829139027075]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
24,./img/smoo15_BastianSchweinsteiger1_1.png,0,23,23,23,,,2.nein,13.617,None,dummy,1.204,None,None,None,None,None,,['return'],[0.6833826205529476],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
25,./img/smoo15_JasonSegel(Marshall)6_1.png,0,24,24,24,,,2.nein,12.536,None,dummy,1.402,None,None,None,None,None,,['return'],[1.715593013628677],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
26,./img/smoo15_TomCruise4_1.png,0,25,25,25,,,2.nein,21.57,None,dummy,1.36,None,None,None,None,None,,['return'],[0.6997091524754069],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
27,./img/smoo15_JasonSegel(Marshall)9_1.png,0,26,26,26,,,2.nein,7.608,None,dummy,1.006,None,None,None,None,None,,['return'],[0.7163984819599136],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
28,./img/smoo15_HughLaurie(DrHouse)5_3.png,0,27,27,27,,,1.ja,1.523,None,act,1.056,None,None,None,None,None,House,"['lshift', 'h', 'o', 'u', 'u', 'backspace', 's', 'e', 'return']","[1.1999274404879543, 1.3002526751915866, 1.500009142113413, 1.833193956195828, 1.9330130065009143, 2.4163899172435777, 2.5997566593887314, 2.8497662024710735, 3.149422555230558]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
29,./img/smoo15_GuentherJauch3_1.png,0,28,28,28,,,1.ja,3.405,None,None,None,host,1.389,None,None,None,Jauch,"['lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[1.1000028549042327, 1.2332650401403953, 1.5162423282417876, 1.5999093487243954, 1.8997472606533847, 1.9832077014434617, 2.7159054493731674]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
30,./img/smoo15_KatjaBurkard4_1.png,0,29,29,29,,,1.ja,2.373,None,None,None,host,1.192,None,None,None,Burkhard,"['lshift', 'b', 'u', 'r', 'k', 'h', 'a', 'r', 'd', 'return']","[1.4170022784710454, 1.683356958479635, 2.233549889155256, 2.3834648354204546, 2.666712858399478, 3.033280501538684, 3.1831383496901253, 3.4993422489787918, 3.916263371142122, 4.432370973499928]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
31,./img/smoo15_BritneySpears1_1.png,0,30,30,30,,,1.ja,2.949,None,None,None,music,1.738,None,None,None,Spears,"['lshift', 's', 'p', 'a', 'e', 'backspace', 'backspace', 'e', 'a', 'r', 'd', 's', 'backspace', 'backspace', 's', 'return']","[2.132893292928202, 2.266363661734431, 2.699478514588918, 3.0324984498511185, 3.249237435447867, 4.115339793119347, 4.348423274090237, 5.415019241743721, 5.697993001311261, 5.9479432008502044, 6.397336469239235, 7.264020393649844, 7.76379921865373, 8.046955499719843, 8.230597788378873, 10.529159012152377]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
32,./img/smoo15_TomCruise1_1.png,0,31,31,31,,,1.ja,17.835,None,act,1.919,None,None,None,None,None,der Scientologie Typ,"['d', 'e', 'r', 'backspace', 'backspace', 'backspace', 'd', 'e', 'r', 'space', 'lshift', 's', 'c', 'i', 'e', 'n', 't', 'o', 'l', 'o', 'g', 'i', 'e', 'space', 'lshift', 't', 'y', 'p', 'return']","[17.01025199835385, 17.309927276892267, 17.426703183797144, 18.343288613963523, 18.59272043961755, 18.809376344252087, 20.358598927774437, 20.591772867554027, 20.741673699680177, 20.99195493996558, 21.292092456602404, 21.392023136926582, 21.69139720687599, 22.091850976490605, 22.558140154056673, 22.808191398009512, 23.27463839732809, 23.574557144787832, 23.991002877039136, 24.207515715614136, 24.440605612104264, 24.60743090246251, 24.790570535256848, 26.223352422708558, 27.339404338366876, 27.472918974248387, 28.55587130598542, 29.1221014287039, 51.495847716123535]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
33,./img/smoo15_Ice-T(OdafinFinTutuola)7_1.png,0,32,32,32,,,1.ja,3.407,None,act,1.524,None,None,None,None,None,Ice T,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 't', 'return']","[1.1497875982258847, 1.2331482777062774, 1.6827038587089191, 1.8492051653902308, 2.2989772701384936, 2.615390956876581, 2.6488709810382716, 3.448329575443495]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
34,./img/smoo15_EmilyDeschanel5_1.png,0,33,33,33,,,2.nein,18.372,None,dummy,1.174,None,None,None,None,None,,['return'],[0.7499760219998279],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
35,./img/smoo15_KatjaBurkard1_1.png,0,34,34,34,,,2.nein,3.872,None,dummy,1.242,None,None,None,None,None,,['return'],[0.8336026247179689],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
36,./img/smoo15_BastianSchweinsteiger6_2.png,0,35,35,35,,,2.nein,3.042,None,dummy,1.207,None,None,None,None,None,,['return'],[0.8836292330797733],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
37,./img/smoo15_Ice-T(OdafinFinTutuola)5_1.png,0,36,36,36,,,1.ja,1.745,None,act,0.989,None,None,None,None,None,IceT,"['lshift', 'i', 'c', 'e', 'minus', 'lshift', 't', 'return']","[1.2829285301631899, 1.3665378109799349, 1.6662592812499497, 1.7833713613181317, 3.132625765811099, 3.8819528581279883, 3.9652278904395644, 5.298503163330679]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
38,./img/smoo15_AlysonHannigan(Lily)5_4.png,0,37,37,37,,,1.ja,3.084,None,act,1.306,None,None,None,None,None,Lily,"['lshift', 'l', 'i', 'l', 'y', 'return']","[1.1330767767522048, 1.3162115979084774, 1.7499182823339652, 2.149575244566222, 3.0659569820236356, 3.615612933812372]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
39,./img/smoo15_BarackObama2_1.png,0,38,38,38,,,1.ja,2.505,None,None,None,None,None,polit,1.709,None,Obama,"['lshift', 'o', 'b', 'a', 'n', 'a', 'backspace', 'backspace', 'm', 'a', 'return']","[1.016807375024655, 1.1999553479927272, 1.549624836525254, 1.7330615078208211, 1.9666341720676428, 2.0664381459027936, 2.466629841592294, 2.6661264800204663, 3.3659546403614513, 3.4494609521079838, 3.699253009119275]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
40,./img/smoo15_NeilPatrickHarris(Barney)2_2.png,0,39,39,39,,,1.ja,2.539,None,act,0.99,None,None,None,None,None,Barney,"['lshift', 'b', 'a', 'r', 'n', 'e', 'y', 'return']","[1.333000367931163, 1.5499193088180618, 1.9660413781693933, 2.149452708166791, 2.532663809837686, 2.6994855716602615, 3.4319892501589493, 4.464793078683215]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
41,./img/smoo15_AngelaMerkel3_1.png,0,40,40,40,,,1.ja,2.156,None,None,None,None,None,polit,2.705,None,Merkel,"['lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[0.7332831639796495, 0.9500019406950742, 1.182719737118532, 1.2664521958886326, 1.5997431867999694, 1.7330457898005989, 1.9663422659814387, 2.6326499843944475]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
42,./img/smoo15_OmarEpps(DrEricForeman)1_5.png,0,41,41,41,,,1.ja,2.389,None,act,2.045,None,None,None,None,None,aus Dr House,"['a', 'u', 's', 'space', 'lshift', 'd', 'r', 'period', 'space', 'lshift', 'h', 'o', 'u', 's', 'e', 'return']","[2.565990503107969, 2.7822601935367857, 2.9657334332860046, 3.2489994197148917, 4.714784658313874, 4.814574518009977, 5.048584079057036, 5.931177205919084, 6.147802636842243, 6.380912742213695, 6.514568198723282, 6.981094108918114, 7.1808813703282794, 7.363932148193271, 7.61375820745161, 7.83027104602661]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
43,./img/smoo15_JoachimLoew1_1.png,0,42,42,42,,,1.ja,2.035,None,None,None,None,None,sport,1.787,None,Löw,"['lshift', 'l', u'\xf6', 'w', 'return']","[1.0499752842151793, 1.1833686667996517, 1.5829868151467963, 1.9661148358536593, 2.5159119290456147]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
44,./img/smoo15_GuentherJauch2_1.png,0,43,43,43,,,1.ja,3.009,None,None,None,host,2.56,None,None,None,Jauch,"['lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[1.500153170500198, 1.6333826365917048, 1.9333215929345897, 2.083229482128445, 2.5657662807407178, 2.682454295043499, 3.8319413262343005]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
45,./img/smoo15_RobertSeanLeonard(Wilson)2_6.png,0,44,44,44,,,1.ja,2.776,None,act,8.074,None,None,None,None,None,Wilson,"['lshift', 'w', 'i', 'l', 's', 'o', 'n', 'return']","[1.7664517147240986, 1.9166017897368874, 2.06606347962952, 2.249982277131494, 2.3496207305925054, 2.799538467608727, 3.01617865422304, 3.3158398186205886]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
46,./img/smoo15_NeilPatrickHarris(Barney)1_1.png,0,45,45,45,,,2.nein,25.464,None,dummy,1.151,None,None,None,None,None,,['return'],[0.7835128234983131],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
47,./img/smoo15_BarackObama4_1.png,0,46,46,46,,,1.ja,1.828,None,None,None,None,None,polit,3.109,None,Obama,"['lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.3497573811346228, 1.5329223552271287, 1.8994928853517195, 2.0823874453435565, 2.282642718819261, 2.4325634390515916, 2.7987493588498182]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
48,./img/smoo15_JoshRadnor(Ted)6_2.png,0,47,47,47,,,2.nein,9.119,None,dummy,1.308,None,None,None,None,None,,['return'],[0.5504508345147769],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
49,./img/smoo15_TomCruise5_1.png,0,48,48,48,,,1.ja,3.074,None,act,1.373,None,None,None,None,None,Tom Cruise,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'c', 'r', 'u', 'i', 's', 'e', 'return']","[8.946683513819153, 9.096798303480682, 9.36327872764923, 10.746356386536718, 10.913048554888519, 11.346198372319122, 11.479571866797414, 11.762807700290068, 12.545530131925261, 12.8788522381019, 13.112200359204508, 14.411178270896926, 16.161022133217557]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
50,./img/smoo15_OmarEpps(DrEricForeman)2_2.png,0,49,49,49,,,1.ja,2.385,None,act,0.857,None,None,None,None,None,aus Dr House,"['a', 'u', 'c', 'backspace', 's', 'space', 'd', 'o', 'backspace', 'backspace', 'lshift', 'd', 'r', 'period', 'space', 'lshift', 'h', 'o', 'u', 's', 'e', 'return']","[1.149875811603124, 1.3331187342428166, 1.4497711424210138, 1.982508409941147, 2.2658151349132822, 2.515556509328235, 2.8487506259134534, 4.264799558355662, 4.764764112616831, 5.031658337718909, 5.864005766266928, 5.997932599204432, 6.230689851066927, 6.813769370453883, 6.963687203702648, 7.230612223294884, 7.397300221558908, 7.813838658052191, 8.06374298663468, 8.213591211508174, 8.463244051770744, 8.796673617880515]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
51,./img/smoo15_LeonardoDiCaprio1_1.png,0,50,50,50,,,1.ja,3.452,None,act,1.208,None,None,None,None,None,DiCaprio,"['lshift', 'd', 'i', 'lshift', 'c', 'a', 'p', 'r', 'o', 'backspace', 'i', 'o', 'return']","[1.5164197173271532, 1.6327561612233694, 1.8163076702985563, 2.4157926324842265, 2.5994246563132037, 2.798690336081563, 3.3151989083362423, 3.498529723578031, 3.7318156141536747, 4.364817810506793, 5.197823471238735, 5.447880489158706, 6.164385789499647]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
52,./img/smoo15_BastianSchweinsteiger3_1.png,0,51,51,51,,,2.nein,10.88,None,dummy,2.11,None,None,None,None,None,,['return'],[0.7173357891933847],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
53,./img/smoo15_GuentherJauch4_1.png,0,52,52,52,,,1.ja,1.458,None,None,None,host,1.361,None,None,None,Jauch,"['lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[1.0667069561222888, 1.1832272046194703, 1.48327714943116, 1.59992538752158, 1.9331486947139638, 2.066148806023193, 2.899306835317475]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
54,./img/smoo15_LisaEdelstein(DrLisaCuddy)6_3.png,0,53,53,53,,,1.ja,2.211,None,act,1.444,None,None,None,None,None,Cuddy,"['lshift', 'c', 'u', 'd', 'd', 'y', 'return']","[1.1663842234702315, 1.3003315860660223, 1.5499869925370149, 1.700056232019051, 1.8499208164648735, 2.9161709876789246, 3.382684387610425]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
55,./img/smoo15_MariskaHargitay(Liv)4_4.png,0,54,54,54,,,1.ja,3.337,None,act,0.796,None,None,None,None,None,Mariska,"['lshift', 'm', 'a', 'r', 'i', 's', 'k', 'a', 'return']","[1.0001959940855158, 1.099937416618559, 1.4161461275452893, 1.6661983338253776, 1.8326855263658217, 2.099207009850943, 2.5991353164336033, 2.765837428840314, 5.36480754567674]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
56,./img/smoo15_MariskaHargitay(Liv)6_5.png,0,55,55,55,,,2.nein,12.166,None,dummy,1.454,None,None,None,None,None,,['return'],[0.6831827771566168],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
